,種類,題目,A,B,C,D,答案
350,ウルトラマンティガ,ウルトラマンティガのエピソード「闇の支配者」で、ティガがガタノゾーアに敗れた後、何が彼を再び立ち上がらせたか？,仲間たちの声援,ダイゴの決意,人々の祈り,光の巨人の力,C
351,ウルトラマンティガ,ウルトラマンティガがマルチタイプの時に使用する光線技の名称は？,ランバルト光弾,ゼペリオン光線,デラシウム光流,サイクロンビーム,B
352,ウルトラマンティガ,ウルトラマンティガのエピソード「炎の星」で、ティガが戦った敵は誰か？,ゴルザ,キリエロイド,メルバ,ガゾート,C
353,ウルトラマンティガ,ウルトラマンティガのエピソード「光の巨人復活」で、ティガが最初に復活した場所はどこか？,古代の遺跡,東京タワー,富士山,GUTSの基地,A
354,ウルトラマンティガ,ウルトラマンティガの最終回で、ティガが戦うことになった最終的な敵は誰か？,ガタノゾーア,ゴルザ,キリエロイド,ゾグ,A
355,ウルトラマンティガ,ウルトラマンティガのスカイタイプが使用するもう一つの特殊能力は？,超音速移動,空間移動,テレポーテーション,エネルギー吸収,A
356,ウルトラマンティガ,ウルトラマンティガのパワータイプが特化しているのは何か？,攻撃力,スピード,防御力,再生能力,A
357,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ティガが闇の巨人を倒すために使用した最後の技は？,ゼペリオン光線,グリッター光線,デラシウム光流,ゼロファイナル,B
358,ウルトラマンティガ,ウルトラマンティガの最終回で、ダイゴがティガとしての力を失った後、何を選んだか？,再びティガとして戦う,平和な生活を送る,GUTSに留まる,光の巨人になる,B
359,ウルトラマンティガ,ウルトラマンティガが最初に変身したのはどのタイプか？,マルチタイプ,スカイタイプ,パワータイプ,グリッターティガ,A
360,ウルトラマンティガ,ウルトラマンティガのエピソード「炎の星」で、ティガがメルバと戦った際に使用した必殺技は？,ゼペリオン光線,ウルトラスラッシュ,サイクロンビーム,デラシウム光流,A
361,ウルトラマンティガ,ウルトラマンティガのスカイタイプで使用する特殊技「ライトニングカッター」は、どのような攻撃か？,光線攻撃,高速斬撃,エネルギー弾,竜巻攻撃,B
362,ウルトラマンティガ,ウルトラマンティガが変身する際に使用するデバイスの名前は？,ウルトラバッジ,ティガスパーク,ウルトラアイ,ブレスレット,B
363,ウルトラマンティガ,ウルトラマンティガのエピソード「人類滅亡の日」で、ガタノゾーアが世界に引き起こした災害は何か？,地震,津波,暗黒の雲,火山噴火,C
364,ウルトラマンティガ,ウルトラマンティガのエピソード「闇の支配者」で、グリッターティガに変身した際の特徴は何か？,全身が金色に輝く,スピードが速くなる,防御力が高くなる,エネルギーが無限に供給される,A
365,ウルトラマンティガ,ウルトラマンティガが戦った怪獣「キリエロイド」の主な攻撃方法は？,闇の炎,高周波攻撃,電撃,テレキネシス,A
366,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、カミーラがティガに求めたものは何か？,再び共に闇に戻ること,世界征服,無限の力,ガタノゾーアの力,A
367,ウルトラマンティガ,ウルトラマンティガのマルチタイプが他の形態より優れている点は何か？,スピード,バランスの取れた能力,防御力,再生能力,B
368,ウルトラマンティガ,ウルトラマンティガが戦った際、ガタノゾーアの弱点とされた部分はどこか？,胸部,頭部,目,尾,B
369,ウルトラマンティガ,ウルトラマンティガの「ウルトラスラッシュ」は、どの形態で使用される技か？,マルチタイプ,スカイタイプ,パワータイプ,グリッターティガ,A
370,ウルトラマンティガ,ウルトラマンティガのエピソード「再会の空」で、ティガがスカイタイプに変身したのはどのシーンか？,空中戦を行うため,高速移動するため,敵の攻撃を避けるため,水中戦を行うため,A
371,ウルトラマンティガ,ウルトラマンティガのエピソード「再会の空」で登場した怪獣は？,ネオザルス,キリエロイド,ゴルザ,ガゾート,D
372,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ティガがカミーラと戦った際に使用した技は？,デラシウム光流,ゼペリオン光線,ウルトラスラッシュ,グリッター光線,D
373,ウルトラマンティガ,ウルトラマンティガが変身できる3つの形態のうち、パワータイプの特徴は何か？,攻撃力の高さ,スピードの速さ,飛行能力,エネルギー吸収,A
374,ウルトラマンティガ,ウルトラマンティガのエピソード「怪獣無法地帯」で登場する防衛チームの主力兵器は？,ガッツウィング,メガネビュラ,バトルホーク,ガッツキャノン,A
375,ウルトラマンティガ,ウルトラマンティガのエピソード「暗黒の支配者」で、ティガがグリッターティガに変身する際に必要だった要素は？,光の力,子供たちの祈り,ダイゴの覚悟,GUTSの支援,B
376,ウルトラマンティガ,ウルトラマンティガのエピソード「恐怖の大王」で、ティガが戦った怪獣の名前は？,ゴルザ,メルバ,ネオザルス,ガゾート,C
377,ウルトラマンティガ,ウルトラマンティガのエピソード「光の巨人復活」で、ティガが復活する際に見つかった遺跡はどこの国にあったか？,日本,エジプト,中国,ペルー,C
378,ウルトラマンティガ,ウルトラマンティガのスカイタイプの特徴として、最も正しいものはどれか？,スピードが最も速い,エネルギーを無限に供給できる,飛行能力が強化されている,防御力が最高,A
379,ウルトラマンティガ,ウルトラマンティガのエピソード「暗黒の支配者」で、ガタノゾーアが地球に与えた影響は？,世界中が暗黒に包まれた,津波が発生した,大地震が起こった,火山が噴火した,A
380,ウルトラマンティガ,ウルトラマンティガのエピソード「GUTSよ永遠に」で、ティガが最終的に戦う敵は誰か？,ガタノゾーア,キリエロイド,ゴルザ,カミーラ,A
381,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ティガが変身した「グリッターティガ」は何を象徴しているか？,光の完全体,古代の力,ダークパワー,勇気と希望,D
382,ウルトラマンティガ,ウルトラマンティガのスカイタイプで使われる「サイクロンビーム」は、どのような特徴を持っているか？,高速の光線,エネルギー弾,回転するビーム,音波攻撃,C
383,ウルトラマンティガ,ウルトラマンティガのエピソード「闇を斬る光」で、ティガが戦った闇の力を持つ怪獣の名前は？,ゴルザ,ガタノゾーア,キリエロイド,ネオザルス,C
384,ウルトラマンティガ,ウルトラマンティガの変身者であるマドカ・ダイゴは、普段はどのような性格で描かれているか？,熱血漢,冷静沈着,感情豊か,物静かで控えめ,D
385,ウルトラマンティガ,ウルトラマンティガが初めてスカイタイプに変身した際、戦った敵は誰？,ガタノゾーア,ネオザルス,ガゾート,メルバ,C
386,ウルトラマンティガ,ウルトラマンティガが最後に登場するエピソードのタイトルは？,闇の支配者,GUTSよ永遠に,光の復活,ティガ対ガタノゾーア,B
387,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ティガがカミーラを倒す際に使用した技は？,ゼペリオン光線,ウルトラスラッシュ,グリッター光線,デラシウム光流,C
388,ウルトラマンティガ,ウルトラマンティガがグリッターティガに変身できたのは、何がきっかけだったか？,光の巨人の力,人々の希望と祈り,ダイゴの覚悟,古代の遺跡,B
389,ウルトラマンティガ,ウルトラマンティガのエピソード「闇の支配者」で、ガタノゾーアに対抗するために必要だったのは？,新しい兵器,勇気,光の力,古代の知識,C
390,ウルトラマンティガ,ウルトラマンティガのエピソード「再会の空」で、ティガが再びスカイタイプに変身したのはどのシーンか？,空中での戦い,逃げるため,敵の攻撃を避けるため,高速移動するため,A
391,ウルトラマンティガ,ウルトラマンティガのエピソード「光の巨人復活」で、ティガが復活する際に使われた光の名前は？,クリスタル光,古代の光,ゼペリオン光,プリズム光,D
392,ウルトラマンティガ,ウルトラマンティガのパワータイプで使用する「ランバルト光弾」の特徴は何か？,強力なエネルギー弾,速射光線,防御技,破壊光線,A
393,ウルトラマンティガ,ウルトラマンティガのエピソード「恐怖の大王」で、ネオザルスが復活したのは何が原因か？,古代の力,GUTSのミス,自然災害,宇宙からのエネルギー,B
394,ウルトラマンティガ,ウルトラマンティガのエピソード「キリエロイドの逆襲」で、キリエロイドがティガに与えた最大のダメージは？,光の力を奪う,時間を止める,暗黒の炎を放つ,空間を歪める,C
395,ウルトラマンティガ,ウルトラマンティガのエピソード「GUTSよ永遠に」で、ティガがグリッターティガに変身する際、何が彼に力を与えたか？,ダイゴの強い意志,子供たちの祈り,光の巨人たちの力,GUTSメンバーの協力,B
396,ウルトラマンティガ,ウルトラマンティガが劇場版「THE FINAL ODYSSEY」で戦う最後の敵は誰か？,カミーラ,ダゴン,ヒュドラ,ガタノゾーア,A
397,ウルトラマンティガ,ウルトラマンティガのエピソード「炎の星」で、ティガが使用したスカイタイプの技は何か？,サイクロンビーム,ウルトラスラッシュ,グリッター光線,ランバルト光弾,A
398,ウルトラマンティガ,ウルトラマンティガのエピソード「闇の支配者」で、ガタノゾーアが世界に引き起こした混乱の象徴として描かれたのは？,巨大な津波,暗黒の雲,地震,火山の噴火,B
399,ウルトラマンティガ,. ウルトラマンティガのエピソード「最終決戦」で、ティガが最後にガタノゾーアを倒す際に使用した技は何か？,ゼペリオン光線,グリッター光線,デラシウム光流,ランバルト光弾,B
400,ウルトラマンティガ,ウルトラマンダイナの主人公・アスカ・シンが所属する防衛チームの名前は？,ZAT,TPC,GUTS,スーパーGUTS,D
401,ウルトラマンティガ,ウルトラマンダイナのスーパーモードで、主に使用される光線技は？,ゼペリオン光線,ソルジェント光線,ウルトラスラッシュ,デラシウム光流,B
402,ウルトラマンティガ,ウルトラマンダイナは何代目のウルトラ戦士とされているか？,4代目,5代目,6代目,7代目,C
403,ウルトラマンティガ,ウルトラマンダイナの変身者、アスカ・シンの性格はどのように描かれているか？,真面目で冷静,陽気で楽天的,内向的で寡黙,冷酷で非情,B
404,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが初めてダイナに変身した場所はどこか？,宇宙空間,地底,地球上空,海底,A
405,ウルトラマンティガ,ウルトラマンダイナのタイプの中で、スピードに特化している形態は？,フラッシュタイプ,ストロングタイプ,ミラクルタイプ,レインボータイプ,A
406,ウルトラマンティガ,ウルトラマンダイナの変身者アスカ・シンが変身に使用するデバイスの名前は？,スパークレンス,フラッシュスパーク,ウルトラバッジ,ウルトラアイ,B
407,ウルトラマンティガ,ウルトラマンダイナの敵として登場した、エイリアンバルタンが使用する主な攻撃は何か？,光線,テレポート,音波攻撃,火炎放射,B
408,ウルトラマンティガ,ウルトラマンダイナが劇場版で共闘したウルトラ戦士は誰か？,ウルトラマンティガ,ウルトラマンタロウ,ウルトラマンガイア,ウルトラセブン,A
409,ウルトラマンティガ,ウルトラマンダイナのストロングタイプの特徴として正しいものは？,高速移動,パワー重視,高い防御力,光線技の強化,B
410,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、ダイナが最初に戦った怪獣の名前は？,ゴルザ,ネオザルス,ダイゲルン,メルバ,C
411,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ダイナが使用した技は？,ソルジェント光線,フラッシュビーム,ウルトラスラッシュ,ガッツパワー,A
412,ウルトラマンティガ,ウルトラマンダイナのミラクルタイプが得意とする能力は何か？,超能力,超スピード,強力な打撃,防御力強化,A
413,ウルトラマンティガ,ウルトラマンダイナの劇場版「ウルトラマンティガ&ウルトラマンダイナ 光の星の戦士たち」で登場する宇宙人の名前は？,ゴルメデ,ゾイガー,スフィア,メカギラス,C
414,ウルトラマンティガ,ウルトラマンダイナがストロングタイプに変身する際、どのようなエネルギーを使うか？,赤いエネルギー,青いエネルギー,緑のエネルギー,金色のエネルギー,A
415,ウルトラマンティガ,ウルトラマンダイナが変身するきっかけとなった現象は何か？,隕石の落下,宇宙戦争,太陽の異常,超時空エネルギー,D
416,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣対GUTS」で、スーパーGUTSの新兵器として登場したものは何か？,ガッツイーグル,ガッツハンター,ガッツウィングEX,ガッツキャノン,C
417,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、ダイナが初めてミラクルタイプに変身するきっかけとなったのは？,テレパシーの力,敵の強力な攻撃,スーパーGUTSの支援,アスカの強い意志,B
418,ウルトラマンティガ,ウルトラマンダイナが使用する技「リボルビーム」の特徴は何か？,高速のビーム,貫通力のある光線,拡散する光弾,防御技,C
419,ウルトラマンティガ,ウルトラマンダイナの劇場版「ウルトラマンティガ&ウルトラマンダイナ」で、ティガとダイナが共闘する敵は？,ダークザギ,ゾイガー,デスフェイサー,グランスフィア,D
420,ウルトラマンティガ,ウルトラマンダイナのフラッシュタイプで使用される「フラッシュビーム」の特徴は？,高速のビーム,拡散する光弾,エネルギー吸収,防御技,A
421,ウルトラマンティガ,ウルトラマンダイナのミラクルタイプが得意とする超能力の一つは？,瞬間移動,テレキネシス,精神攻撃,エネルギー操作,B
422,ウルトラマンティガ,ウルトラマンダイナのストロングタイプで使用される「グラビトンボム」の効果は？,重力攻撃,爆発力が強い,防御技,光線技,A
423,ウルトラマンティガ,ウルトラマンダイナのエピソード「宇宙からの侵略者」で、ダイナが戦った敵は？,メトロン星人,バルタン星人,スフィア,ゾイガー,C
424,ウルトラマンティガ,ウルトラマンダイナの劇場版「ウルトラマンティガ&ウルトラマンダイナ」で登場するダイナとティガの共闘シーンで使用される技は？,ダブルゼペリオン,ダブルソルジェント光線,ダブルフラッシュビーム,ダブルグリッター光線,B
425,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラスの逆襲」で、ゴルドラスがダイナに与えた最大のダメージは何か？,エネルギー吸収,光線攻撃,高速回転攻撃,爆発波,A
426,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカ・シンがミラクルタイプに変身するきっかけとなったのは？,ダイナの力が封印されていた,時間が歪んでいた,強力な敵の登場,超時空エネルギーの影響,C
427,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが最初に変身する際の光線技は？,デラシウム光流,ソルジェント光線,フラッシュビーム,ランバルト光弾,B
428,ウルトラマンティガ,ウルトラマンダイナのフラッシュタイプが得意とする能力は？,超スピード,超パワー,超耐久力,超能力,A
429,ウルトラマンティガ,ウルトラマンダイナのエピソード「ダイナの伝説」で、ダイナが戦った古代の怪獣の名前は？,ゴルザ,ネオザルス,メルバ,マグマゴン,D
430,ウルトラマンティガ,ウルトラマンダイナのストロングタイプで、主に使用される必殺技は？,グラビトンボム,ソルジェント光線,フラッシュビーム,ミラクルビーム,A
431,ウルトラマンティガ,ウルトラマンダイナのエピソード「闇の帝王」で、ダイナが直面した強敵は誰か？,デスフェイサー,ガタノゾーア,バルタン星人,スフィア,A
432,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦った怪獣は？,ネオザルス,ゴルザ,キリエロイド,ゾイガー,B
433,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、ミラクルタイプの変身後に使用する技は？,リボルビーム,エネルギー弾,ソルジェント光線,フラッシュビーム,A
434,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、ダイナが初めて直面する怪獣はどのような特性を持っていたか？,エネルギー吸収,高速移動,強力な光線攻撃,変身能力,A
435,ウルトラマンティガ,ウルトラマンダイナのフラッシュタイプが使用する「フラッシュビーム」の効果は？,高速のビーム,爆発力のある光線,防御能力の強化,空間の歪み,A
436,ウルトラマンティガ,ウルトラマンダイナのストロングタイプが持つ特技として正しいものは？,強力な打撃,高速移動,高い防御力,精神攻撃,A
437,ウルトラマンティガ,ウルトラマンダイナのミラクルタイプが得意とする特殊能力は？,テレポート,時間操作,エネルギー操作,精神感応,B
438,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカがミラクルタイプに変身する際に重要だったアイテムは？,ティガスパーク,スパークレンス,フラッシュスパーク,グリッタースパーク,B
439,ウルトラマンティガ,ウルトラマンダイナのエピソード「闇の帝王」で、ダイナが最終的に勝利するために使用した技は？,ソルジェント光線,グラビトンボム,リボルビーム,フラッシュビーム,A
440,ウルトラマンティガ,ウルトラマンダイナの劇場版「ウルトラマンティガ&ウルトラマンダイナ 光の星の戦士たち」で、ティガと共に戦うキャラクターは？,キリエロイド,グランスフィア,バルタン星人,ガタノゾーア,B
441,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが最初に変身する形態は？,ストロングタイプ,フラッシュタイプ,ミラクルタイプ,スカイタイプ,B
442,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣対GUTS」で、ダイナが使用する兵器の名前は？,ガッツウィング,ガッツハンター,ガッツイーグル,ガッツパワー,A
443,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、ダイナがミラクルタイプに変身した理由は？,敵の強力な攻撃,時間の歪み,超時空エネルギー,GUTSの支援,A
444,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ゴルドラスが引き起こした災害は何か？,地震,大津波,火山噴火,暴風雨,B
445,ウルトラマンティガ,ウルトラマンダイナのエピソード「ダイナの伝説」で、ダイナが復活するために必要だったものは？,強い意志,光の力,時間の流れ,他のウルトラ戦士の支援,B
446,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが初めて変身する際のデバイスの名前は？,スパークレンス,フラッシュスパーク,ウルトラアイ,ガッツバッジ,A
447,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラスの逆襲」で、ダイナが使用した技は何か？,ソルジェント光線,グラビトンボム,フラッシュビーム,リボルビーム,A
448,ウルトラマンティガ,ウルトラマンダイナのフラッシュタイプで使用される技「フラッシュビーム」は、どのような攻撃を行うか？,高速の光線,爆発する光弾,空間を歪める,高圧のエネルギー,A
449,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカが遭遇する未来の敵の名前は？,ダークザギ,スフィア,デスフェイサー,ゾイガー,B
450,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣対GUTS」で、スーパーGUTSの新兵器「ガッツイーグル」の役割は？,空中支援,地上攻撃,海中探索,防御,A
451,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラスの逆襲」で、ダイナがゴルドラスに対抗するために使用した技は？,ソルジェント光線,グラビトンボム,フラッシュビーム,リボルビーム,A
452,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカがダイナに変身した後の初めての戦闘で対決した敵の名前は？,バルタン星人,メトロン星人,ダイゲルン,ゴルザ,C
453,ウルトラマンティガ,ウルトラマンダイナのエピソード「闇の帝王」で、アスカが直面した強敵の名前は？,ダークザギ,ゾイガー,デスフェイサー,バルタン星人,C
454,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦う怪獣の中で最も強力なものは？,ゴルザ,ネオザルス,キリエロイド,メルバ,A
455,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカがミラクルタイプに変身するきっかけとなったのは？,敵の強力な攻撃,超時空エネルギーの影響,GUTSの支援,時間の歪み,A
456,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、ダイナが使用する「ソルジェント光線」の特徴は？,強力な貫通力,高速で放射,爆発力のある光線,照準を合わせる光線,A
457,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ゴルドラスが引き起こした災害は何か？,大地震,大津波,火山噴火,巨大な竜巻,B
458,ウルトラマンティガ,ウルトラマンダイナのフラッシュタイプが主に使用する技は？,フラッシュビーム,リボルビーム,グラビトンボム,ソルジェント光線,A
459,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが最初にダイナとして戦う怪獣の名前は？,ダイゲルン,ゴルザ,キリエロイド,ネオザルス,A
460,ウルトラマンティガ,ウルトラマンダイナのミラクルタイプが得意とする特殊能力は？,テレポート,超スピード,高い防御力,時間操作,D
461,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカがミラクルタイプに変身した理由は？,強力な敵の攻撃,超時空エネルギーの影響,自身の意志,GUTSの支援,A
462,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ダイナが使用した技は何か？,ソルジェント光線,フラッシュビーム,リボルビーム,グラビトンボム,A
463,ウルトラマンティガ,ウルトラマンダイナのストロングタイプが得意とする攻撃技は？,グラビトンボム,フラッシュビーム,ソルジェント光線,リボルビーム,A
464,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦った怪獣の名前は？,ネオザルス,ゴルザ,マグマゴン,キリエロイド,B
465,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカが初めて遭遇する未来の敵の名前は？,スフィア,ダークザギ,デスフェイサー,ゾイガー,A
466,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、ダイナが最初に直面する怪獣の名前は？,ゴルザ,ダイゲルン,メルバ,ネオザルス,B
467,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ダイナが使用した必殺技は？,ソルジェント光線,リボルビーム,フラッシュビーム,グラビトンボム,A
468,ウルトラマンティガ,ウルトラマンダイナのミラクルタイプの特徴として正しいものは？,高速移動能力,防御力の強化,時間操作能力,強力な打撃力,C
469,ウルトラマンティガ,ウルトラマンダイナのエピソード「闇の帝王」で、ダイナが最終的に勝利するために使用した技は？,ソルジェント光線,フラッシュビーム,グラビトンボム,リボルビーム,A
470,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ゴルドラスが引き起こした大災害は何か？,地震,火山噴火,大津波,暴風雨,C
471,ウルトラマンティガ,ウルトラマンダイナのフラッシュタイプの特徴として正しいものは？,高速移動能力,高い防御力,強力なエネルギー吸収能力,高い打撃力,A
472,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが初めてダイナに変身した際の状況は？,宇宙空間,地球上空,地底,海中,B
473,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカがミラクルタイプに変身した理由は？,敵の強力な攻撃,超時空エネルギーの影響,自身の意志,GUTSの支援,A
474,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦った怪獣「ネオザルス」の特技は？,エネルギー吸収,高速回転,光線攻撃,強力な打撃,B
475,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、ダイナの最初の変身後、敵として登場する怪獣の名前は？,メルバ,ダイゲルン,バルタン星人,ゴルザ,B
476,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラスの逆襲」で、ゴルドラスが引き起こした災害は何か？,巨大な津波,大地震,火山噴火,洪水,A
477,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカがミラクルタイプに変身する際に重要な役割を果たしたのは？,ダイナの力,特殊なデバイス,時間の歪み,超時空エネルギー,D
478,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ダイナが使用する「リボルビーム」の特徴は？,高速回転するビーム,強力な貫通力を持つビーム,複数の光弾を放つ,照準を合わせる光線,A
479,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣対GUTS」で、ダイナが使用したガッツの新兵器「ガッツイーグル」の特性は？,空中支援と攻撃,地上攻撃,防御機能,海中探査,A
480,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが最初に変身するフラッシュタイプの特徴は？,高速移動,高い打撃力,強力な光線攻撃,防御能力の強化,A
481,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦った怪獣「メルバ」の特技は？,高速移動,エネルギー吸収,高熱の光線,地震発生,C
482,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラス襲来」で、ゴルドラスが最初に引き起こした大災害は？,大地震,巨大な津波,火山噴火,雷雨,B
483,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカがミラクルタイプに変身するきっかけとなったのは？,敵の強力な攻撃,超時空エネルギー,自身の意志,GUTSの支援,A
484,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、アスカが初めて使用する技は？,ソルジェント光線,フラッシュビーム,リボルビーム,グラビトンボム,B
485,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣対GUTS」で、GUTSが使用する新兵器「ガッツハンター」の主な機能は？,敵の攻撃を防ぐ,空中支援を行う,地上攻撃を行う,情報収集を行う,C
486,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカがミラクルタイプに変身する際に使用したアイテムは？,スパークレンス,フラッシュスパーク,グリッタースパーク,ウルトラアイ,A
487,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラスの逆襲」で、ダイナが直面した敵の名前は？,ゴルドラス,ダークザギ,デスフェイサー,ゾイガー,A
488,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、ダイナが初めて戦う敵の特徴は？,高速回転,強力な光線攻撃,高い防御力,エネルギー吸収,B
489,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦う「ゴルザ」の特技は？,地震発生,高熱光線,高速移動,エネルギー吸収,B
490,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカが変身するミラクルタイプの特技は？,時間操作,高速移動,強力な光線攻撃,防御力の強化,A
491,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣対GUTS」で、ダイナの主な武器「ガッツウィング」の役割は？,空中支援,地上攻撃,防御機能,敵の捕獲,A
492,ウルトラマンティガ,ウルトラマンダイナのエピソード「新たなる光」で、ダイナが最初に使用する「フラッシュビーム」の効果は？,高速のビーム,強力な爆発力,照準を合わせる光線,エネルギー吸収,A
493,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラスの逆襲」で、ゴルドラスが引き起こした最大の災害は？,大津波,地震,火山噴火,巨大な竜巻,A
494,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦った怪獣「キリエロイド」の特技は？,高熱光線,高速回転,変身能力,エネルギー吸収,C
495,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカが変身するミラクルタイプの特技は？,時間操作,高速移動,強力な光線攻撃,防御力の強化,A
496,ウルトラマンティガ,ウルトラマンダイナのエピソード「ゴルドラスの逆襲」で、ダイナが使用した必殺技「ソルジェント光線」の効果は？,高い貫通力,高速移動,強力な爆発,エネルギー吸収,A
497,ウルトラマンティガ,ウルトラマンダイナのエピソード「怪獣無法地帯」で、ダイナが戦った「ゴルザ」の特技は？,高熱の光線,強力な打撃,高速移動,地震発生,A
498,ウルトラマンティガ,ウルトラマンダイナのエピソード「未来の空間」で、アスカが直面する敵「スフィア」の特徴は？,高速移動能力,エネルギー吸収能力,時間操作能力,強力な光線攻撃,D
499,ウルトラマンティガ,. ウルトラマンダイナのエピソード「新たなる光」で、ダイナが初めて使用する技「フラッシュビーム」の効果は？,高速のビーム,強力なエネルギー波,照準を合わせる光線,防御力強化,A
500,ウルトラマンガイア,ウルトラマンガイアの変身者の名前は？,井上亮,大空大地,早田進,湊明,B
501,ウルトラマンガイア,ウルトラマンガイアが使用する変身アイテムの名前は？,ガイアスパーク,グリッタースパーク,フラッシュスパーク,ガイアバングル,A
502,ウルトラマンガイア,ウルトラマンガイアが最初に戦う敵怪獣は？,イーヴィルティガ,バルタン星人,ガルベロス,ショウガ,C
503,ウルトラマンガイア,ウルトラマンガイアの初めてのエピソードタイトルは？,新たなる光,振り返るな、前を向け,失われた記憶,地球の運命,B
504,ウルトラマンガイア,ウルトラマンガイアの主な敵である「イーヴィルティガ」の特徴は？,高熱光線,高速移動,強力な打撃,エネルギー吸収,D
505,ウルトラマンガイア,ウルトラマンガイアが使用する必殺技「ガイアソード」の特徴は？,エネルギー波,光線攻撃,剣のようなビーム,高速回転する光線,C
506,ウルトラマンガイア,ウルトラマンガイアが変身する際に使用するポーズは？,両手を広げる,両手を前に出す,両手を上に上げる,片手を前に出す,B
507,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で登場する怪獣の名前は？,ゾイガー,ドラゴン,ガルバリス,レイモス,C
